"Un Spliced bZIP60","Spliced bZIP60","MarkerMarker Name 115","MarkerMarker Name 288","MarkerMarker Name 317","MarkerMarker Name 208","MarkerMarker Name 213","MarkerMarker Name 263","MarkerMarker Name 101","MarkerMarker Name 311","MarkerMarker Name 124","MarkerMarker Name 287","MarkerMarker Name 198","MarkerMarker Name 293","MarkerMarker Name 394","MarkerMarker Name 171","MarkerMarker Name 55","MarkerMarker Name 298","MarkerMarker Name 302","MarkerMarker Name 181","MarkerMarker Name 192","MarkerMarker Name 408","MarkerMarker Name 214","MarkerMarker Name 281","MarkerMarker Name 199","MarkerMarker Name 157","MarkerMarker Name 161","MarkerMarker Name 328","MarkerMarker Name 120","MarkerMarker Name 50","MarkerMarker Name 384","MarkerMarker Name 423","MarkerMarker Name 135","MarkerMarker Name 375","MarkerMarker Name 59","MarkerMarker Name 148","MarkerMarker Name 54","MarkerMarker Name 334","MarkerMarker Name 4","MarkerMarker Name 322","MarkerMarker Name 61","MarkerMarker Name 242","MarkerMarker Name 323","MarkerMarker Name 159","MarkerMarker Name 272","MarkerMarker Name 297","MarkerMarker Name 172","MarkerMarker Name 365","MarkerMarker Name 275","MarkerMarker Name 354","MarkerMarker Name 337","MarkerMarker Name 320"
"5365.323","621.722587","A","B","B","A","B","B","A","A","A","A","A","N","B","B","N","A","B","A","A","B","B","B","B","B","B","A","A","B","B","A","A","B","B","B","A","A","B","B","B","B","A","A","B","B","B","A","B","B","A","A"
"1293.8689","677.3133696","B","A","B","A","B","A","A","A","A","B","A","B","A","B","B","A","A","A","B","A","A","A","B","B","A","B","B","B","B","A","B","B","A","A","B","B","B","B","B","B","A","B","A","B","A","A","B","B","B","B"
"2628.5548","471.063","A","A","B","B","B","B","B","B","B","A","B","B","N","A","N","A","A","A","A","A","B","A","A","A","B","A","N","A","A","N","N","A","B","A","A","B","A","A","N","A","A","B","A","A","B","A","A","B","B","B"
"2010.43665","599.3504565","A","B","B","A","A","A","B","B","A","A","A","B","A","B","A","B","N","A","B","A","B","B","B","A","A","A","B","B","A","B","B","B","B","A","B","B","B","A","A","A","B","B","B","B","A","B","B","A","B","A"
"1164.44245","253.7559348","A","B","B","B","A","A","B","A","B","A","B","B","A","A","B","A","A","N","B","A","B","B","B","B","A","B","A","A","B","A","A","A","B","B","A","B","A","B","B","B","A","B","B","A","A","B","A","A","B","A"
"3118.85378","525.2367857","A","B","B","B","A","A","N","B","B","B","B","B","A","N","A","A","B","B","A","A","B","A","B","A","B","A","B","B","A","A","B","N","B","B","B","B","N","B","B","A","A","A","B","A","A","B","A","A","B","B"
"575.14906","334.3222857","A","B","B","B","B","A","A","A","A","A","A","B","B","B","B","B","B","A","N","B","B","A","A","N","A","A","A","B","A","B","B","B","A","B","A","B","B","A","A","B","B","N","B","B","A","B","B","B","A","A"
"2322.35276","509.7882143","A","B","B","A","B","A","B","B","B","A","A","B","A","B","A","A","B","A","B","B","B","B","B","A","A","A","B","A","A","A","B","B","N","B","B","B","B","N","B","A","A","B","A","A","A","A","N","B","A","A"
"3383.9112","804.6488214","B","B","A","A","A","A","B","A","A","A","A","A","B","B","A","B","B","B","B","B","N","A","A","A","B","B","A","A","B","B","B","B","N","A","A","B","B","A","A","B","B","B","A","B","A","A","B","A","A","A"
"3520.59036","706.4073214","A","A","A","A","B","B","B","A","B","B","A","N","B","B","B","A","N","A","B","B","B","A","B","B","B","A","A","A","B","A","A","B","A","A","A","N","B","B","B","B","A","B","A","A","B","A","B","B","A","B"
"1997.59868","454.83125","A","B","B","B","A","A","N","A","N","B","B","B","B","A","B","B","A","B","A","A","B","A","B","B","A","A","A","A","B","B","A","A","B","A","A","B","A","A","A","B","B","A","A","N","A","A","B","A","B","B"
"7308.38762","593.9154286","A","B","A","A","A","A","A","B","B","A","A","B","A","B","B","B","B","B","B","A","B","B","B","A","A","A","A","B","A","B","B","B","B","B","B","B","B","B","A","A","B","B","B","A","A","B","N","A","B","A"
"4142.08644","599.2519643","B","B","B","N","A","N","A","B","B","A","B","B","B","B","B","A","N","N","A","B","A","A","N","N","A","B","B","N","N","A","N","B","A","A","N","B","B","A","N","N","B","A","N","A","N","A","N","A","A","A"
"3524.99544","434.7623929","A","B","B","B","A","A","N","A","A","A","B","B","A","A","B","A","N","B","A","A","B","A","A","B","A","B","B","A","B","A","B","A","N","A","B","B","A","A","B","B","A","A","A","N","A","A","A","A","B","A"
"8157.75304","2142.852429","A","A","A","A","A","B","B","A","B","B","A","A","B","B","B","B","A","A","A","B","B","A","B","B","A","A","A","A","B","B","A","B","A","A","A","A","B","A","A","N","B","N","A","A","B","A","B","A","B","B"
"3624.5677","1107.021786","B","A","A","B","B","B","B","A","A","B","A","A","B","B","B","A","B","B","B","B","A","A","B","B","B","B","A","A","B","A","A","B","A","B","A","A","A","A","B","A","A","B","A","B","B","B","B","B","A","B"
"146.51178","244.8423214","B","A","B","B","B","A","A","N","B","A","B","A","A","A","N","A","N","B","B","B","B","B","B","N","A","B","B","B","N","N","B","A","B","N","B","N","A","B","A","A","B","B","B","A","A","B","B","B","A","A"
"5072.99152","506.2818929","A","A","B","B","B","N","N","A","B","A","A","B","N","B","N","A","N","B","B","B","B","B","A","B","N","A","A","A","B","A","A","B","B","A","A","B","N","A","B","B","A","B","A","A","A","A","B","N","A","A"
"5070.93802","447.26375","B","A","B","B","A","N","B","A","B","B","B","A","A","A","B","B","A","A","B","B","B","A","A","B","A","B","A","B","B","B","A","A","A","B","A","A","A","N","A","A","B","B","B","A","N","B","B","A","A","B"
"81.8072","316.1168571","B","B","B","A","B","B","A","A","B","A","B","A","A","B","B","B","A","A","A","A","B","B","A","B","B","A","B","A","B","B","B","B","B","A","B","A","B","A","A","B","B","A","A","A","B","A","A","B","B","N"
"2786.40836","708.8481786","B","B","B","B","B","A","B","A","A","B","B","A","B","A","A","A","B","A","A","B","N","A","B","B","B","B","A","A","B","A","A","A","N","B","A","A","A","B","B","B","A","A","A","B","A","A","B","B","A","B"
"2979.42986","464.94825","A","B","B","A","A","B","B","A","B","A","A","B","A","B","A","A","B","A","B","A","B","B","A","B","A","A","A","B","B","A","A","B","B","B","A","B","B","A","B","A","A","B","B","A","B","A","A","A","B","A"
"5621.52938","1224.713036","B","B","B","A","B","A","B","A","B","B","A","B","B","B","B","A","A","B","A","B","A","A","B","B","B","B","A","B","B","A","A","B","A","A","A","B","B","A","B","A","A","A","B","A","A","A","B","B","A","B"
