,SNP Names,Position (cM),Mean LOD,Mean P Value,Variance LOD,Variance P Value,Joint LOD,Joint P Value,A Mean Est,A Mean Lower Bound,A Mean Upper Bound,A Standard Deviation Est,A Standard Deviation Lower Bound,A Standard Deviation Upper Bound,B Mean Est,B Mean Lower Bound,B Mean Upper Bound,B Standard Deviation Est,B Standard Deviation Lower Bound,B Standard Deviation Upper Bound
853,IDP114,1775.91,1.832421499,0.400031994,1.985594792,0.370538696,3.083339574,0.543976884,60.68902439,59.8509036,61.52714518,13.29758113,11.84083141,14.93355135,59.31968811,58.72045026,59.91892596,11.95447819,10.8952679,13.11666221
854,gpm717a,1783.87,2.301611444,0.316381751,0.63838727,0.726734814,3.132969521,0.535825037,61.48096886,60.62511507,62.33682265,12.78878948,11.30257037,14.47043734,59.75723831,59.14038648,60.37409014,11.54794582,10.45828943,12.75113425
855,gpm466b,1784.29,1.390901258,0.498849601,0.841777089,0.656463264,2.267733911,0.686649607,62.15185185,61.25682224,63.04688146,13.30249677,11.7233566,15.09434768,59.61737089,58.9568317,60.27791008,12.36599662,11.18245758,13.67480015
856,gpm383c,1786.85,2.210666883,0.331100461,0.455008056,0.796519213,3.206798807,0.523833523,62.02654867,61.25939566,62.79370169,11.05676886,9.810035355,12.46194669,59.74266366,59.1109362,60.37439111,10.46632394,9.426332225,11.62105624
857,bnlg469b,1791.2,2.454821905,0.293050318,1.516566848,0.468469901,3.669047397,0.452643797,60.37994723,59.61136339,61.14853107,13.12018966,11.77785834,14.61550748,59.39285714,58.78003594,60.00567835,11.78745907,10.70518591,12.97914791
858,bnlg1893,1795.9,1.438548967,0.487105531,3.699943249,0.157241628,4.619754184,0.328582926,60.48358862,59.75910768,61.20806956,13.81938151,12.53466744,15.23576961,59.154047,58.52238061,59.78571338,11.1332471,10.00767018,12.38541925
859,IDP171,1800.58,0.884711151,0.64252113,4.367949468,0.112593112,4.606539681,0.330100871,59.98765432,59.29711809,60.67819055,6.964656149,6.132669538,7.909513952,59.67042254,58.99319412,60.34765095,6.140945416,5.291635326,7.126570197
860,umc36a,1802.2,0.757547198,0.684700612,5.494529411,0.064102962,5.743739599,0.219120766,59.17349398,58.41425957,59.93272838,12.84241545,11.55914894,14.26814685,59.19469027,58.49576781,59.89361272,10.81838129,9.628870106,12.15483982
861,gpm281a,1806.55,0.648048594,0.72323267,4.216450994,0.121453295,4.444825402,0.349139984,60.75870647,60.00220631,61.51520662,11.86345985,10.63186548,13.237722,60.70684932,60.07411665,61.33958198,9.649806812,8.601263582,10.82617346
862,gpm619,1810.76,0.81204778,0.666294249,2.518849837,0.283817198,2.85583859,0.582232945,60.51374207,59.84752807,61.17995608,9.856409768,8.852755837,10.97384987,61.06796117,60.36190077,61.77402156,8.632884218,7.558768844,9.859633422
863,IDP661,1816.2,1.341169497,0.511409444,2.393624761,0.302155836,3.027807475,0.553182719,60.25248509,59.60190847,60.90306171,11.08309079,10.03517475,12.24043472,60.09324759,59.35455123,60.83194395,10.01049127,8.822608057,11.35831206
864,AY110389,1822.9,0.533302373,0.765940195,0.829707597,0.660436831,1.276929588,0.865277433,60.05852843,59.47099284,60.64606401,8.468445406,7.647430509,9.37760304,59.20704846,58.28928352,60.12481339,8.212172353,6.959454745,9.690381966
865,IDP1944,1826.25,2.197601264,0.333270558,3.807319949,0.149022202,4.610507777,0.32964446,59.7853211,59.15233106,60.41831114,10.25688322,9.289499167,11.32500811,59.97972973,59.21357351,60.74588595,9.291671616,8.122976214,10.62851338
866,gpm325c,1829.7,3.253415661,0.19657567,2.130648927,0.344616021,4.887802979,0.299004544,60.966,60.33929785,61.59270215,8.010725307,7.151756647,8.972861231,62.13924051,61.34603315,62.93244786,7.186653272,6.095070145,8.473731069
867,gpm442a,1829.98,0.5635432,0.75444598,2.333590167,0.311363237,2.448833425,0.653820792,60.74180328,60.09195824,61.39164832,11.5779327,10.4925451,12.7755968,60.74531835,59.95156121,61.5390755,10.54610335,9.232020654,12.04723213
868,umc2184,1833.5,2.943986457,0.229467648,1.279261949,0.527487044,3.761719273,0.439212951,59.816,59.16434042,60.46765958,11.10707305,10.05533025,12.26882345,58.81422925,57.97030852,59.65814998,10.31696352,8.970497777,11.86553287
869,mmp183,1835.7,0.207185003,0.90159262,0.591572383,0.743946473,0.790090802,0.939771573,59.81885397,59.19825358,60.43945437,11.18694282,10.17290734,12.30205736,60.49442379,59.65029931,61.33854827,10.77225498,9.414228511,12.32618022
870,gpm926i,1840.56,0.401464824,0.818131325,1.671563283,0.43353548,2.083680017,0.720371201,59.56746032,58.61214093,60.52277971,13.10954614,11.4765282,14.97492943,61.22713864,60.53499853,61.91927876,11.11823228,9.913366781,12.46953652
871,bnl17.14,1843.6,0.169024312,0.918960485,1.698308794,0.427776508,1.879216664,0.757961815,59.45794393,58.73264312,60.18324473,14.01755321,12.69496062,15.4779368,60.62573099,59.65518199,61.59628,11.90507174,10.17744263,13.92596728
872,lim104,1847.6,0.560119481,0.755738592,4.740430348,0.093460614,4.916331858,0.295990607,59.59496124,58.95309592,60.23682656,13.05144337,11.90664238,14.30631478,60.51704545,59.80428329,61.22980762,12.01275661,10.74907542,13.4249985
873,chr106b,1849.2,1.261488863,0.53219547,0.784033384,0.675692835,2.226402978,0.694198457,59.89852008,59.23302339,60.56401678,10.02776676,9.014278319,11.15520318,61.2173913,60.48660644,61.94817616,9.209016706,8.093382512,10.47843575
874,nfa103b,1849.21,1.258974616,0.532864927,0.783733393,0.675794194,2.223170284,0.694789592,59.89852008,59.23302339,60.56401678,10.02776676,9.014278319,11.15520318,61.2173913,60.48660644,61.94817616,9.209016706,8.093382512,10.47843575
875,ufg55,1852.11,1.39599098,0.497581712,1.192632839,0.550836956,2.11183735,0.715197977,59.49391727,58.79216694,60.19566761,12.99820393,11.73684749,14.39511806,60.20779221,59.48583814,60.92974628,12.94441035,11.64871233,14.38423017
876,AY109586,1854.21,0.716553611,0.698879594,1.816363048,0.403256871,2.268649574,0.686482566,59.5520362,58.87526596,60.22880644,13.76030214,12.49702832,15.15127517,60.42042042,59.64236804,61.1984728,13.73149107,12.28953935,15.34262933
877,umc1696,1857.41,0.794691993,0.672101441,0.298759847,0.861241847,1.242371802,0.871074317,59.44811321,58.74868853,60.14753788,13.36208937,12.09180735,14.76581847,60.46621622,59.81093257,61.12149986,12.82560593,11.63276877,14.14075795
878,AY106674,1866.13,0.239635627,0.887082036,1.743000397,0.41832351,1.986890537,0.738170216,59.59244533,58.93772247,60.24716818,13.16297834,11.99499355,14.44469294,60.48767123,59.79351359,61.18182887,11.93711319,10.70352613,13.31287182
879,AY111236,1866.41,3.468310908,0.176549241,1.918555853,0.383169463,4.838670126,0.304255048,59.4965035,58.7799564,60.21305059,9.793878464,8.737786161,10.97761534,60.01941748,59.35886656,60.67996839,8.9870718,7.999317035,10.09679441
880,gpm257n,1870,2.842768912,0.241379606,0.624171175,0.731918883,3.599638963,0.4628906,61.0664557,60.31299979,61.8199116,7.31230943,6.314875462,8.467287997,59.94535519,59.18905436,60.70165602,7.758561393,6.770200199,8.89121047
881,IDP125,1870.7,5.608864423,0.060541136,1.037506377,0.595262265,7.706526985,0.102939676,58.99019608,58.13452877,59.84586339,8.647795754,7.492978987,9.980592704,60.71648352,60.07727159,61.35569545,8.027658728,7.137371751,9.028996513
882,gpm916d,1870.9,0.855855803,0.651858411,0.850794312,0.653510188,1.482939791,0.829659112,62.39316239,61.53978172,63.24654306,10.61014478,9.204349637,12.23064928,59.19951923,58.5331773,59.86586117,11.01063925,9.897291962,12.24922708
883,umc2118,1871,0.426641975,0.807896771,0.500155672,0.778740167,0.954729579,0.916581,59.35202492,58.51337268,60.19067716,11.20392903,9.886136086,12.69737991,60.88501027,60.28890436,61.48111617,9.950727927,8.989481084,11.01476107
884,umc1931,1875.6,0.235424548,0.88895179,2.042807855,0.360089046,2.232366454,0.693108223,59.44514107,58.60947004,60.28081209,12.11675802,10.73281591,13.67915244,60.2177264,59.6120783,60.8233745,11.26880902,10.24667585,12.3929027
885,umc1746,1877.1,0.126476963,0.93871958,1.845662228,0.397392384,2.034894125,0.72934079,59.59885387,58.8196812,60.37802654,11.7748262,10.48296101,13.22589409,60.22287968,59.60482287,60.8409365,11.29738065,10.25896506,12.44090499
886,gpm257s,1878.5,5.585039793,0.061266634,1.054271929,0.590293172,7.391801933,0.116576103,62.18115942,61.38414197,62.97817688,10.00944842,8.746037189,11.45536608,60.80417755,60.11634314,61.49201195,10.15779017,9.058470029,11.3905219
887,umc1780,1881.2,3.674122389,0.159284846,0.362034254,0.834421067,4.371802738,0.358020112,59.75066313,59.02953443,60.47179183,10.30752269,9.174197111,11.58085255,60.13645621,59.49603212,60.7768803,10.43050749,9.418441815,11.55132544
888,AY106313,1881.4,0.036567964,0.981882156,0.071097982,0.965075453,0.130569042,0.997959483,59.66574586,58.92347366,60.40801805,12.06403837,10.7888152,13.48999117,60.59191919,59.96854437,61.21529401,11.86019576,10.77953373,13.04919554
889,bnl8.15,1881.41,0.029166757,0.985522444,0.08811863,0.956897197,0.130875212,0.99795011,59.91891892,59.15607384,60.681764,8.45762405,7.388708758,9.681177986,60.06694561,59.42269689,60.71119432,8.538716617,7.628076795,9.558068623
890,IDP703,1883.43,0.884361448,0.642633486,1.564374577,0.457404441,2.193288742,0.700258152,58.95710456,58.21331981,59.7008893,9.814638043,8.698072937,11.07453578,60.56837607,59.91696506,61.21978708,9.654665701,8.667846624,10.75383239
891,IDP394,1890.52,0.587074496,0.74562145,0.904754455,0.636114165,1.52748327,0.821762255,60.66272189,59.85801273,61.46743105,13.22390577,11.80546538,14.81277341,59.31013917,58.69384291,59.92643542,12.3894837,11.28910066,13.59712442
892,umc1394,1891.81,8.205509195,0.016527087,0.141272901,0.931800586,10.75884379,0.029412239,62.33333333,61.56833744,63.09832923,12.18956111,10.85292846,13.69081172,58.53974122,57.93424706,59.14523538,12.39916596,11.32861367,13.57088527
893,umc1970,1898.21,3.286183459,0.193381235,0.003849563,0.99807707,3.291343992,0.510304894,61.68167203,60.90331776,62.46002629,12.04272281,10.68821077,13.56889154,58.79773157,58.17900217,59.41646097,12.46291455,11.37331343,13.65690307
894,IDP3785,1898.48,6.37738774,0.041225682,0.187433195,0.910540775,7.872643291,0.096356425,60.57428571,59.77786336,61.37070807,13.55299846,12.13224593,15.1401289,59.3401222,58.72091053,59.95933387,12.51635753,11.3991474,13.74306343
895,umc2071,1899.21,5.609624625,0.060518129,0.047259704,0.976647147,7.269282722,0.122323936,62.01977401,61.27787363,62.76167439,8.417580166,7.380553151,9.60031781,59.1241535,58.47494368,59.77336332,8.273707558,7.356287248,9.305541566
896,asg64,1899.61,3.217736225,0.200113993,0.174615574,0.916394998,5.112472699,0.275950557,62.18289086,61.42256981,62.9432119,11.57118368,10.29332543,13.00768082,58.50695825,57.90231827,59.11159823,11.23448483,10.20541932,12.36731636
897,mmp158a,1901.81,3.331694915,0.189030395,0.12086679,0.941356466,3.437337704,0.487470022,62.49152542,61.75422201,63.22882884,11.10819172,9.891018717,12.47514809,58.29361702,57.65419,58.93304404,11.10097939,10.03734412,12.27732575
898,AY112199,1904.79,3.422019845,0.180683224,0.400730997,0.818431563,3.714415072,0.446032806,62.01,61.19839355,62.82160645,9.791888314,8.566367448,11.19273453,58.75183824,58.14436256,59.35931391,9.858749363,8.926857642,10.88792304
899,umc1892,1905.51,3.789944777,0.150322486,0.299459372,0.860940669,3.99302206,0.406951035,62.23011364,61.49451257,62.9657147,11.55485867,10.3069494,12.953858,58.31736527,57.68917497,58.94555557,11.75753984,10.68347074,12.93959111
900,php20905,1907.21,2.97475815,0.225964115,0.009005536,0.995507354,2.996824867,0.558356892,61.82903226,61.04396513,62.61409939,11.52934328,10.20554371,13.02485788,58.41472868,57.79163262,59.03782475,11.78664775,10.7234528,12.95525497
901,umc2049,1908.71,5.26705381,0.071824696,0.583402282,0.746991748,5.544652238,0.235832305,62.03571429,61.247149,62.82427957,8.876368359,7.707810486,10.22208776,58.22787194,57.60559697,58.85014691,9.523863861,8.596002134,10.55187998
902,mmp38,1912.61,8.566676249,0.013796531,0.49745229,0.779793495,9.909089309,0.041987223,62.62345679,61.89122249,63.35569109,11.33771671,10.07632693,12.75701167,58.726,58.08326168,59.36873832,12.30108685,11.18689295,13.52625241
903,gpm668e,1912.81,7.673403895,0.021564605,0.433525177,0.805121092,9.195369886,0.056397422,61.97160243,61.35467671,62.58852816,7.310659143,6.494084784,8.229910585,56.60891089,55.69194838,57.5258734,7.038944183,5.849895502,8.469678681
904,umc121,1924.31,6.787491686,0.033582646,4.651239011,0.097722885,7.114885531,0.129940179,60.2962963,59.56568163,61.02691096,11.6699013,10.4164171,13.0742265,59.25263158,58.59062387,59.91463929,12.26170745,11.12063772,13.51986042
905,gpm713,1926.77,0.337667819,0.84464918,1.299314115,0.522224839,2.003398141,0.735133829,60.61094225,59.86212172,61.35976278,9.77080671,8.612978446,11.08427989,59.86753247,59.16300728,60.57205765,9.922456463,8.830441029,11.14951585
906,asg30c,1928.01,1.658093569,0.436465133,0.116814845,0.943265562,1.778788271,0.776360798,60.51704545,59.76824922,61.26584168,12.08820164,10.79685266,13.53400138,58.73648649,58.06883534,59.40413764,12.10413057,10.9457893,13.38505363
907,csu32a,1930.01,1.326113276,0.515273919,2.268677737,0.321634694,2.80450687,0.591054998,60.17191977,59.42125316,60.92258638,11.58806223,10.32567911,13.00478009,59.62804878,58.97970056,60.276397,11.86196938,10.76385163,13.07211603
908,umc1458,1937.21,2.90269777,0.234254093,0.907261221,0.635317369,3.120063301,0.537937967,59.46216216,58.70814319,60.21618114,9.330797247,8.238912743,10.56738674,59.95058824,59.27192367,60.6292528,9.054355654,8.061708654,10.16922836
909,gpm770,1938.67,0.272155583,0.872774736,0.22796273,0.892274583,0.571649162,0.966161407,61.14634146,60.38228568,61.91039725,9.420385509,8.27782246,10.72065311,61.1175,60.45341546,61.78158454,9.096165764,8.091146283,10.22602098
910,gpm336b,1938.92,1.669040318,0.434082722,1.655098805,0.437119178,1.949893253,0.744974527,60.18037975,59.4019812,60.95877829,9.956109514,8.755111985,11.32185594,60.80294118,60.06068022,61.54520213,9.861269019,8.711868302,11.16231597
911,IDP3906,1942.08,1.330529777,0.514137321,1.925287984,0.381881857,2.320780039,0.676988326,59.55961071,58.84974144,60.26947997,10.97870225,9.837572607,12.2521996,60.13488372,59.45584211,60.81392533,10.76563419,9.670334123,11.98499224
912,bnlg1325,1943.28,6.668538922,0.035640614,4.335694704,0.114423666,6.761659459,0.149032394,60.82369146,60.10467852,61.5427044,8.74243514,7.702388958,9.922917758,58.95575221,58.29949234,59.61201209,8.876167009,7.923746664,9.943066596
913,bnlg1144,1947.01,6.76597464,0.033945896,4.394560788,0.111104909,6.866295303,0.143124873,60.43943662,59.68886833,61.19000491,11.97368994,10.69204606,13.40896308,59.15350877,58.49804703,59.80897052,11.85857583,10.73126156,13.10431398
914,gpm783,1953.62,5.060663188,0.07963261,2.236363098,0.326873658,8.586249812,0.072315549,62.20474777,61.52379097,62.88570458,10.80939617,9.629923793,12.13333023,59.53255814,58.8370956,60.22802068,12.36894208,11.16632983,13.70107551
915,gpm854,1960.35,1.136539352,0.566504828,0.092975384,0.954576309,1.360638178,0.851006613,61.27238806,60.4738401,62.07093602,11.24831913,9.880224901,12.80585053,59.38995215,58.70569167,60.07421264,11.99010469,10.80751713,13.30209416
916,gpm648,1965.41,3.988122754,0.13614138,0.774423074,0.678947457,4.651699445,0.324936817,62.59105431,61.83966586,63.34244276,11.27561184,9.99390367,12.7216978,59.20945946,58.55253385,59.86638506,11.71120242,10.58282096,12.9598963
917,bnlg1647,1973.31,5.787261665,0.055374791,1.938186249,0.379426975,6.515868788,0.163793263,61.63592233,60.93303469,62.33880997,12.24072416,11.02601105,13.58925973,57.85542169,57.16742674,58.54341663,12.03715355,10.84674588,13.35820596
918,lim66,1994.81,4.615723513,0.099473723,1.98080213,0.371427694,5.27597865,0.260134056,61.76021798,61.05281885,62.46761712,12.60750524,11.32446279,14.03591424,58.65668663,58.01493004,59.29844321,13.34230407,12.17129597,14.6259756
919,umc2258,1997.81,3.708083285,0.156602952,2.011561118,0.365759027,4.303262477,0.366516746,60.89226519,60.15467321,61.62985718,9.915926799,8.786097261,11.19104437,58.88059701,58.16252954,59.59866449,10.13877258,9.039207234,11.37209345
920,bnlg1447,1999.41,3.683739864,0.158520726,2.004173526,0.367112564,4.28597674,0.36868439,61.57909605,60.8779715,62.28022059,11.97503637,10.72348877,13.37265317,58.7309417,58.03823512,59.42364829,13.22917984,11.99007776,14.59633563
921,umc2259,2001.71,3.702886092,0.15701043,1.136565908,0.566497306,3.739713926,0.442376136,60.7721519,60.07632226,61.46798154,10.45154202,9.338758672,11.69692188,59.71126761,58.84038463,60.58215058,11.02194956,9.651593077,12.58687255
922,mmp79,2009.31,3.920525339,0.140821427,4.257777099,0.118969449,6.167289094,0.1869985,60.74925373,60.02953697,61.46897049,8.947381089,7.868447282,10.17425999,58.98807157,58.32626047,59.64988267,9.903156335,8.91723369,10.99808627
923,gpm547a,2010.18,1.585295377,0.452644745,1.457158425,0.482594167,2.849043224,0.58339699,61.88196721,61.15201156,62.61192286,8.7117402,7.61469362,9.966837946,60.10606061,59.43825639,60.77386482,9.637064073,8.638761756,10.75073102
924,mmp186,2015.31,4.149958387,0.12555904,4.995149882,0.082284301,7.103133404,0.13053744,60.82550336,60.06785244,61.58315427,9.432662571,8.260706574,10.77088532,59.06666667,58.43053139,59.70280194,10.4970175,9.51182953,11.58424633
925,gpm580b,2017.5,1.452589571,0.483697878,2.801002962,0.246473331,4.936530114,0.29387212,59.95964126,59.10638535,60.81289716,8.273935582,7.04210528,9.721242056,60.38209607,59.7120761,61.05211604,9.1269061,8.155904585,10.21351024
926,gpm423a,2017.7,1.349900882,0.509181655,2.868010806,0.238352311,4.537028632,0.338179394,61.88679245,61.05863387,62.71495103,9.892213906,8.521659991,11.48319647,60.43303571,59.75414016,61.11193127,11.62626418,10.49264591,12.8823578
927,asg48a,2022.71,8.593165628,0.013615005,5.576501527,0.061528748,9.504938167,0.049645878,61.20224719,60.36198385,62.04251053,10.8570658,9.491817464,12.4186836,58.91433566,58.31399533,59.51467599,11.30847877,10.31643453,12.39591951
928,bnl8.35a,2023.41,8.536638898,0.0140053,5.371172612,0.068181207,9.400990892,0.051821904,61.12598425,60.27852803,61.97344048,10.77360439,9.390884148,12.35991732,58.83662478,58.2247494,59.44850015,11.45267288,10.43813331,12.56582113
929,npi276a,2024.01,3.675065714,0.159209735,1.137503646,0.566231755,3.78117102,0.436430372,59.26141079,58.3741775,60.14864407,12.00982113,10.4842522,13.75737638,60.41450777,59.66651797,61.16249757,12.7710156,11.47114425,14.21818399
930,uaz159b,2027.31,0.671637084,0.714752792,0.693169195,0.707098998,1.564679398,0.81512585,56.88095238,55.85088738,57.91101739,11.7960176,10.14165276,13.72025198,60.71824104,60.16877851,61.26770358,10.84541898,9.928102565,11.8474917
931,umc1030,2029.01,0.222617504,0.894662477,0.023165115,0.988484262,0.228825173,0.993933328,60.07575758,59.09506377,61.05645138,10.6083206,9.058926776,12.42271505,59.82871126,59.24942452,60.407998,10.9832869,10.04065037,12.01442004
932,gpm810a,2029.72,3.388774557,0.183711759,1.047676843,0.592242902,3.412987496,0.491231502,60.98823529,60.0041312,61.97233939,8.768484085,7.322672934,10.49976065,60.36952381,59.75494981,60.9840978,9.490886319,8.565967207,10.51567452
933,gpm420c,2031.65,1.445416236,0.485435857,0.810042617,0.666962599,2.328420044,0.675599649,61.81666667,60.94682678,62.68650656,10.76933117,9.351117105,12.40263516,60.25276753,59.66072725,60.8448078,10.99395408,10.00796846,12.07707905
934,umc1772,2033.51,0.071677517,0.964795846,0.318675779,0.852708189,0.428058221,0.98011591,59.87190083,58.96041713,60.78338453,6.205418962,5.148669313,7.479063453,60.00638978,59.44350415,60.5692754,6.176465571,5.499591166,6.936647797
935,npi446,2033.81,0.815212701,0.665240699,0.080078697,0.960751634,0.892286108,0.925664886,59.87190083,58.96034297,60.78345869,12.24110117,10.68401867,14.02511195,59.41827768,58.82304973,60.01350563,12.25569339,11.2151398,13.39279074
936,IDP697,2033.83,1.431028277,0.488940664,1.158614032,0.560286502,1.860088824,0.761472365,60.01568627,59.11518142,60.91619113,9.227696417,7.940917932,10.7229897,59.78327645,59.19780204,60.36875086,9.116745281,8.256861023,10.06617942
937,umc2000,2036.91,3.033548833,0.219418499,0.395016432,0.820773397,3.353835329,0.500447962,61.77916667,60.86539965,62.69293369,13.97629155,12.2766637,15.91122232,59.27859779,58.66674054,59.89045503,14.06335186,12.90081387,15.33065027
938,umc1608,2038.01,4.358382125,0.113133011,0.591895452,0.74382631,4.730411644,0.316093667,62.97407407,62.17415851,63.77398964,9.627145659,8.382944316,11.05601207,58.28873239,57.68603744,58.89142735,10.40877602,9.461556438,11.45082407
939,gpm320d,2040.36,5.10132557,0.078029932,0.658635609,0.719414347,7.446381897,0.114096998,62.43801653,61.5883661,63.28766695,7.742855504,6.584348798,9.105199801,59.96851852,59.37229821,60.56473883,8.037620085,7.211187811,8.958764954
940,umc2158,2046.61,2.528320478,0.282476409,0.036538908,0.981896421,2.648756997,0.618210782,61.74729242,60.92268281,62.57190203,13.48882319,11.95265386,15.22242283,59.56772908,58.93080305,60.20465512,14.02241864,12.81791127,15.34011435
941,umc1495,2047.41,2.890524677,0.235684239,0.351433845,0.838855411,3.657033575,0.45440595,61.35632184,60.50187883,62.21076485,11.63337178,10.19109103,13.27976941,59.7462406,59.14519929,60.34728191,11.67998309,10.64579441,12.81463832
942,nfc104c,2050.23,1.136649294,0.566473688,0.019638855,0.990228626,1.161773197,0.884351412,61.50859107,60.68223263,62.33494951,12.42489678,10.98620321,14.05199387,59.19237435,58.6073292,59.7774195,12.38849011,11.35176924,13.51989139
943,umc1392,2051.11,0.899583805,0.637760854,0.065534895,0.967763589,1.140968455,0.88771882,63.79357798,62.86834112,64.71881484,10.58943122,9.114369105,12.30321619,59.16351119,58.57732238,59.7497,10.91683781,9.958450929,11.96745845
944,umc2033,2051.71,1.067517255,0.586396775,0.27736029,0.87050642,1.186756823,0.880274171,60.72765957,59.78151094,61.67380821,11.15980947,9.657570466,12.89572235,59.83946488,59.27273472,60.40619505,10.71074467,9.782698342,11.72683112
945,IDP1475,2053.06,1.620821599,0.444675356,2.338962893,0.310527925,3.199361858,0.525034024,60.76717557,59.89447982,61.63987132,12.81861684,11.27617638,14.57204393,59.44041451,58.84750557,60.03332344,12.9419171,11.87255015,14.10760251
946,IDP1455,2053.07,1.641741758,0.440048259,2.391442136,0.302485763,3.265775664,0.514373022,60.76717557,59.89447982,61.63987132,12.81861684,11.27617638,14.57204393,59.44041451,58.84750557,60.03332344,12.9419171,11.87255015,14.10760251
947,haf101,2053.51,3.01975975,0.220936516,3.13614654,0.208446416,4.720286295,0.317220053,61.28052805,60.49448214,62.06657397,11.73467492,10.38683697,13.25741377,59.26548673,58.66451947,59.86645398,12.22043095,11.17590943,13.36257541
948,psr754b,2056.02,3.923080784,0.140641611,5.877511664,0.052931544,7.625181771,0.106314319,61.86343612,60.87930674,62.8475655,14.33408494,12.53187641,16.395469,58.63076923,57.99592404,59.26561443,13.9990866,12.80986878,15.29870673
949,umc1742,2059.02,0.471262752,0.79007186,0.119653268,0.941927818,0.6025342,0.962781664,60.32258065,59.54860047,61.09656082,12.62055819,11.26565239,14.13841679,59.3126294,58.67239261,59.95286619,12.43370309,11.30206933,13.67864309
950,umc2117a,2060.22,1.573297825,0.45536822,1.083767457,0.581651546,2.161524285,0.706079175,60.83647799,60.06009581,61.61286016,11.39169982,10.09257479,12.85804936,59.46770601,58.78910232,60.14630971,11.79846539,10.65541184,13.06413939
951,IDP2374,2060.23,3.104484725,0.21177257,2.849024829,0.24062576,3.915876338,0.417510449,60.02970297,59.2155345,60.84387144,9.229344369,8.047641099,10.58456713,59.75464684,59.13936253,60.36993115,9.283526837,8.376424296,10.28886163
952,bnlg1113,2060.83,3.094929625,0.212786745,2.840018905,0.241711732,3.90177012,0.419463018,60.56164384,59.71618217,61.4071055,13.13599388,11.63536002,14.83016727,58.71602434,58.07720163,59.35484705,12.90512147,11.75484488,14.16795899
953,IDP1460,2061.13,2.431445305,0.296495673,1.693393846,0.428829051,3.155877571,0.53208681,60.02970297,59.2155345,60.84387144,9.229344369,8.047641099,10.58456713,59.75464684,59.13936253,60.36993115,9.283526837,8.376424296,10.28886163
954,gpm780a,2061.63,0.615771166,0.73499941,0.517193596,0.772134287,1.124681733,0.890336663,62.132,61.26188977,63.00211023,9.833447557,8.506247846,11.36772554,60.15,59.49518087,60.80481913,9.419810734,8.399661431,10.56385844
955,IDP154,2062.05,0.439686562,0.802644578,0.006302138,0.99685389,0.446391497,0.978505522,60.51054852,59.61844993,61.40264712,12.25284444,10.69729138,14.03459918,59.59602649,59.00926038,60.1827926,12.83865424,11.79192435,13.97829886
956,bnlg1638,2063.13,4.62812592,0.098858775,1.649657935,0.438309951,4.719961763,0.31725621,61.58682635,60.83998317,62.33366952,12.29227016,10.96844079,13.77587832,58.50619835,57.85358399,59.15881271,12.90441391,11.73893414,14.18560632
957,gpm289a,2063.66,1.869307761,0.392721771,2.26267098,0.322602137,3.003797343,0.557190125,60.28125,59.45022951,61.11227049,6.173885268,5.202192479,7.32707593,60.99595142,60.39007213,61.6018307,5.980735331,5.247692204,6.816176275
958,mmp144a,2066.93,7.021468617,0.029874969,3.955731446,0.13836423,7.729838293,0.101991169,61.59701493,60.83318885,62.360841,9.579516607,8.432815456,10.88214712,58.94559099,58.33505485,59.55612714,9.647018035,8.719577708,10.67310369
959,mmp36,2073.43,3.761319566,0.152489463,1.150797336,0.562480581,3.767905302,0.438326659,59.52659574,58.47878642,60.57440507,7.684174717,6.351158978,9.296971037,58.98080614,58.3580764,59.60353588,7.621541254,6.797325344,8.545698219
960,IDP94,2075.63,1.872086991,0.392176418,2.470642292,0.290741377,3.47809266,0.481217213,60.40694006,59.66822452,61.14565561,12.09592811,10.77057561,13.58436933,59.51908397,58.87063502,60.16753292,13.59846496,12.42478559,14.88301331
961,IDP2443,2080.43,2.55206972,0.279141946,3.453770879,0.177837434,4.784072216,0.310178995,59.81761006,59.07943667,60.55578345,9.735559987,8.574759111,11.05350331,59.87571702,59.22633819,60.52509584,10.83001692,9.809204016,11.95706261
962,mmc0312a,2082.73,5.639020323,0.059635147,4.84886157,0.088528496,7.801461491,0.099127694,60.75757576,60.03408201,61.4810695,10.68886994,9.483550015,12.04738103,58.70850202,58.04936161,59.36764244,11.81187378,10.71149326,13.02529525
963,umc1908,2083.63,4.093034337,0.129184047,4.110684807,0.128048984,6.221310399,0.183219065,61.19767442,60.49255808,61.90279075,9.989213606,8.85610223,11.26730314,58.85208333,58.17873127,59.52543539,11.12738339,10.04910676,12.32135989
964,npi247,2083.83,2.068118518,0.355560714,1.794757585,0.407636761,3.938810134,0.414350333,60.65131579,59.92368108,61.3789505,10.06546696,8.872606459,11.41869929,58.85208333,58.17868947,59.52547719,11.54603157,10.44324418,12.76527128
965,php20509,2084.73,3.078320161,0.21456124,1.72115094,0.422918635,4.863005633,0.301644981,60.94321767,60.22016135,61.66627398,8.829611812,7.739978575,10.07264348,58.71641791,58.03270112,59.40013471,9.948595797,8.927587876,11.08637178
966,ufg44,2084.93,1.865526821,0.393464902,2.008217858,0.366370952,3.995078364,0.406672331,60.85173502,60.12173737,61.58173266,10.15403238,8.967766341,11.497219,59.30977131,58.64318445,59.97635817,11.29335179,10.20991148,12.49176301
